State,State Abrv.,City,Population Total (2010 Census),White Population,Black Population,Native American/Alaskan,Asian Population,Pacific Islander,Other,Multiracial,Hispanic
New York,NY,New York,"8,175,133","2,722,904","1,861,295","17,427","1,028,119","2,795","57,841","148,676","2,336,076"
California,CA,Los Angeles,"3,792,621","1,086,908","347,380","6,589","420,212","4,300","12,057","76,353","1,838,822"
Illinois,IL,Chicago,"2,695,598","854,717","872,286","4,097","144,903",557,"4,227","35,949","778,862"
Texas,TX,Houston,"2,099,451","537,901","485,956","3,528","124,859",711,"4,128","22,700","919,668"
Pennsylvania,PA,Philadelphia,"1,526,006","562,585","644,287","3,498","95,521",457,"4,105","27,942","187,611"
Arizona,AZ,Phoenix,"1,445,632","672,573","86,788","23,327","43,894","2,055","2,242","24,876","589,877"
Texas,TX,San Antonio,"1,327,407","353,106","83,365","2,771","30,596","1,097","2,105","15,415","838,952"
California,CA,San Diego,"1,307,402","589,702","82,497","3,545","204,347","5,178","3,293","42,820","376,020"
Texas,TX,Dallas,"1,197,816","345,205","294,159","3,167","33,609",311,"1,824","12,232","507,309"
California,CA,San Jose,"945,942","271,382","27,508","2,255","300,022","3,492","1,820","25,827","313,636"
Florida,FL,Jacksonville,"821,784","452,525","247,516","2,687","34,731",668,"1,949","18,223","63,485"
Indiana,IN,Indianapolis,"820,445","480,960","223,053","1,760","17,053",274,"2,123","17,870","77,352"
California,CA,San Francisco,"805,235","337,451","46,781","1,828","265,700","3,128","2,494","26,079","121,774"
Texas,TX,Austin,"790,390","385,271","60,760","1,967","49,159",401,"1,448","13,677","277,707"
Ohio,OH,Columbus,"787,033","466,615","217,694","1,643","31,734",462,"2,032","22,494","44,359"
Texas,TX,Fort Worth,"741,206","309,312","136,941","2,481","27,095",615,993,"11,301","252,468"
North Carolina,NC,Charlotte,"731,424","329,545","252,007","2,250","36,115",436,"1,960","13,423","95,688"
Michigan,MI,Detroit,"713,777","55,604","586,573","1,927","7,436",82,994,"12,482","48,679"
Texas,TX,El Paso,"649,121","92,426","18,155","1,633","7,092",737,543,"4,814","523,721"
Tennessee,TN,Memphis,"646,889","177,735","408,075","1,186","10,067",159,742,"6,931","41,994"
