State,White Male,Black Male,Native American/Alaskan Male,Asian Male,Pacific Islander Male,Multiracial Male,Hispanic Male,White Female,Black Female,Native American/Alaskan Female,Asian Female,Pacific Islander Female,Multiracial Female,Hispanic Female,White (Total),Black (Total),Native American/Alaskan (Total),Asian (Total),Pacific Islander (Total),Multiracial (Total),Hispanic (Total),Total Population
District of Columbia,117859,141947,697,10585,162,6287,35063,118317,170628,763,14975,155,8163,33292,236176,312575,1460,25560,317,14450,68355,658893
Hawaii,180419,19649,2086,239318,66804,135252,74571,145667,11899,1619,276693,64749,132167,68668,326086,31548,3705,516011,131553,267419,143239,1419561
Alaska,243453,15252,52741,20633,4526,23853,26838,212859,10919,51531,22772,4288,23727,23340,456312,26171,104272,43405,8814,47580,50178,736732
Wyoming,249633,4895,6236,2419,232,4749,29878,241655,3203,6176,2973,217,4700,27187,491288,8098,12412,5392,449,9449,57065,584153
Vermont,288712,3949,1023,4309,98,5136,5622,297301,3190,975,5282,85,5392,5488,586013,7139,1998,9591,183,10528,11110,626562
Delaware,288716,93582,1478,16574,171,9532,42636,307157,104919,1502,17937,172,10549,40689,595873,198501,2980,34511,343,20081,83325,935614
North Dakota,327044,8970,18699,4644,253,6717,12692,313340,5840,19175,4534,205,6622,10747,640384,14810,37874,9178,458,13339,23439,739482
South Dakota,354787,9328,35050,5155,197,8393,16403,353665,5878,36187,5357,207,8434,14134,708452,15206,71237,10512,404,16827,30537,853175
Rhode Island,378682,29792,2145,16675,316,9872,73881,407881,29781,2333,18781,345,10475,74214,786563,59573,4478,35456,661,20347,148095,1055173
New Mexico,402320,21866,85984,13417,788,15261,493246,409080,16732,93314,16540,698,15421,500905,811400,38598,179298,29957,1486,30682,994151,2085572
Montana,446213,3425,30941,3156,434,12007,17947,441494,2138,31458,4711,302,11938,17415,887707,5563,62399,7867,736,23945,35362,1023579
New Hampshire,596965,9390,1448,15746,180,9626,22114,614092,7224,1372,17571,207,9448,21430,1211057,16614,2820,33317,387,19074,43544,1326813
Maine,609704,10141,4167,6675,190,10164,10230,637371,8046,4347,8712,203,10204,9935,1247075,18187,8514,15387,393,20368,20165,1330089
Idaho,674816,6452,9244,9807,1421,15280,101476,678626,4707,9234,11885,1247,15243,95026,1353442,11159,18478,21692,2668,30523,196502,1634464
Nevada,744456,117123,11870,100720,8337,43071,401216,717571,116435,12801,123738,8628,44315,388818,1462027,233558,24671,224458,16965,87386,790034,2839099
Nebraska,748853,44826,7617,19094,595,15716,100162,765533,42523,7842,20760,545,16274,91163,1514386,87349,15459,39854,1140,31990,191325,1881503
West Virginia,841599,35285,2000,6684,229,13845,14273,869848,30044,1865,7984,211,13885,12574,1711447,65329,3865,14668,440,27730,26847,1850326
Mississippi,842753,524132,7021,14066,560,15506,50518,871516,589542,7517,15776,509,16244,38419,1714269,1113674,14538,29842,1069,31750,88937,2994079
Arkansas,1069372,217035,10879,20120,3832,25364,110714,1107527,239418,11220,22587,3735,26459,98107,2176899,456453,22099,42707,7567,51823,208821,2966369
Kansas,1102044,88001,11698,38201,1243,34663,171505,1127058,82636,11883,40691,1060,35216,158122,2229102,170637,23581,78892,2303,69879,329627,2904021
Utah,1169773,17663,13925,31197,13976,28105,205111,1165238,13388,14658,35640,12793,27786,193649,2335011,31051,28583,66837,26769,55891,398760,2942902
Connecticut,1205195,169866,3680,75582,660,28669,270897,1270176,185096,3776,82142,665,30018,270255,2475371,354962,7456,157724,1325,58687,541152,3596677
Oklahoma,1278350,143378,156797,37530,2531,101485,200077,1320884,143383,161898,41110,2430,106744,181454,2599234,286761,318695,78640,4961,208229,381531,3878051
Iowa,1335101,53615,4523,34087,1177,23642,90900,1371063,47621,4564,33636,1129,23374,82694,2706164,101236,9087,67723,2306,47016,173594,3107126
Louisiana,1358047,707988,14480,39707,961,30929,121827,1400541,782753,14893,41354,948,32208,103040,2758588,1490741,29373,81061,1909,63137,224867,4649676
Oregon,1503722,38429,22078,75512,7617,59005,257737,1554816,32470,22402,88929,7360,61110,239052,3058538,70899,44480,164441,14977,120115,496789,3970239
South Carolina,1510280,617723,8786,33472,1377,36077,141679,1575431,701149,8907,38473,1312,37743,120073,3085711,1318872,17693,71945,2689,73820,261752,4832482
Maryland,1540426,814857,7006,177114,1493,64593,290929,1604278,934587,7500,196441,1554,69187,266442,3144704,1749444,14506,373555,3047,133780,557371,5976407
Alabama,1569776,594957,13171,29481,1168,33218,108196,1639861,683562,13714,33659,1096,35050,92468,3209637,1278519,26885,63140,2264,68268,200664,4849377
Colorado,1849594,112923,17570,72587,3633,56294,578558,1845318,98269,17043,87008,3399,57119,556551,3694912,211192,34613,159595,7032,113413,1135109,5355866
Arizona,1869598,143436,132527,94798,6683,64064,1032741,1914451,130026,139736,108918,5508,65284,1023714,3784049,273462,272263,203716,12191,129348,2056455,6731484
Kentucky,1846773,175820,4556,28093,1318,35145,81453,1920835,178314,4508,31325,1247,36517,67553,3767608,354134,9064,59418,2565,71662,149006,4413457
Minnesota,2200551,157648,28679,123759,1160,55598,144646,2243606,151517,29380,129914,1123,57229,132363,4444157,309165,58059,253673,2283,112827,277009,5457173
Wisconsin,2346789,177650,25247,72779,926,43192,192924,2386620,184323,25269,76943,891,44687,179324,4733409,361973,50516,149722,1817,87879,372248,5757564
Missouri,2387884,334033,12907,53771,3524,57758,124345,2470156,368234,12668,60041,3526,58865,115877,4858040,702267,25575,113812,7050,116623,240222,6063589
Washington,2477335,142527,45981,261071,22840,133970,446211,2492939,119923,46060,301187,22227,136691,412568,4970274,262450,92041,562258,45067,270661,858779,7061530
Tennessee,2385840,519623,8936,51559,1815,49545,174862,2502491,580166,8606,57914,1657,52221,154117,4888331,1099789,17542,109473,3472,101766,328979,6549352
Massachusetts,2424839,221135,6055,200546,1295,55050,361904,2585903,235402,6030,218515,1434,57998,369302,5010742,456537,12085,419061,2729,113048,731206,6745408
New Jersey,2476876,541552,6420,403047,1438,62744,869875,2604385,612096,6707,426434,1517,65787,859297,5081261,1153648,13127,829481,2955,128531,1729172,8938175
Virginia,2597688,756231,11557,244379,3083,100225,382081,2659694,825435,11126,273387,3181,102987,355235,5257382,1581666,22683,517766,6264,203212,737316,8326289
